Date,Count
"2015-07-15",260
"2015-07-14",2549
"2015-07-13",2830
"2015-07-12",1332
"2015-07-11",946
"2015-07-10",21
"2015-07-09",2364
"2015-07-08",2755
"2015-07-07",2968
"2015-07-06",3028
"2015-07-05",1377
"2015-07-04",899
"2015-07-03",1514
"2015-07-02",1830
"2015-07-01",1594
"2015-06-30",1564
"2015-06-29",1738
"2015-06-28",932
"2015-06-27",635
"2015-06-26",1270
"2015-06-25",1884
"2015-06-24",1966
"2015-06-23",1986
"2015-06-22",2205
"2015-06-21",994
"2015-06-20",769
"2015-06-19",1418
"2015-06-18",1542
"2015-06-17",2079
"2015-06-16",2049
"2015-06-15",2210
"2015-06-14",1173
"2015-06-13",865
"2015-06-12",1557
"2015-06-11",2145
"2015-06-10",2433
"2015-06-09",2602
"2015-06-08",2202
"2015-06-07",845
"2015-06-06",629
"2015-06-05",1199
"2015-06-04",1474
"2015-06-03",1811
"2015-06-02",1959
"2015-06-01",2316
